voter,position,title,author
Sarah Churchwell,9,Huckleberry Finn,Mark Twain
Sarah Churchwell,10,Moby-Dick,Herman Melville
Blake Morrison,1,Middlemarch,George Eliot
Blake Morrison,2,Jane Eyre,Charlotte Brontë
Blake Morrison,3,The Great Gatsby,F Scott Fitzgerald
Blake Morrison,4,Ulysses,James Joyce
Blake Morrison,5,Sons and Lovers,D. H. Lawrence
Blake Morrison,6,Nineteen Eighty-Four,George Orwell
Blake Morrison,7,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Blake Morrison,8,Emma,Jane Austen
Blake Morrison,9,Gulliver's Travels,Jonathan Swift
Blake Morrison,10,Robinson Crusoe,Daniel Defoe
Melissa Harrison,1,Ulysses,James Joyce
Melissa Harrison,2,Anna Karenina,Leo Tolstoy
Melissa Harrison,3,The Sound and the Fury,William Faulkner
Melissa Harrison,4,Bring up the Bodies,Hilary Mantel
Melissa Harrison,5,The Grapes of Wrath,John Steinbeck
Melissa Harrison,6,The Lord of the Rings,J.R.R. Tolkien
Melissa Harrison,7,Piranesi,Susanna Clarke
Melissa Harrison,8,Tarka the Otter,Henry Williamson
Melissa Harrison,9,Light Years,James Salter
Melissa Harrison,10,The Information,Martin Amis
Anne Enright,1,Ulysses,James Joyce
Anne Enright,2,Beloved,Toni Morrison
Anne Enright,3,In Search of Lost Time,Marcel Proust
Anne Enright,4,Moby-Dick,Herman Melville
Anne Enright,5,Madame Bovary,Gustave Flaubert
Anne Enright,6,The Handmaid's Tale,Margaret Atwood
Anne Enright,7,Love in the Time of Cholera,Gabriel García Márquez
Anne Enright,8,Wide Sargasso Sea,Jean Rhys
Anne Enright,9,The Good Soldier,Ford Madox Ford
Anne Enright,10,Cloud Atlas,David Mitchell
Fiona Sampson,1,In Search of Lost Time,Marcel Proust
Fiona Sampson,2,The Bridge on the Drina,Ivo Andrić
Fiona Sampson,3,Frankenstein,Mary Shelley
Fiona Sampson,4,The Alexandria Quartet ,Lawrence Durrell
Fiona Sampson,5,To the Lighthouse,Virginia Woolf
Fiona Sampson,6,Tamarisk Row,Gerald Murnane
Fiona Sampson,7,Pig Earth,John Berger
Fiona Sampson,8,By Grand Central Station I Sat Down and Wept,Elizabeth Smart
Fiona Sampson,9,Zone,Mathias Enard
Fiona Sampson,10,Omeros,Derek Walcott
Steven Poole,1,The Brothers Karamazov,Fyodor Dostoyevsky
Steven Poole,2,In Search of Lost Time,Marcel Proust
Steven Poole,3,Moby-Dick,Herman Melville
Steven Poole,4,Pale Fire,Vladimir Nabokov
Steven Poole,5,Pride and Prejudice,Jane Austen
Steven Poole,6,The Good Soldier,Ford Madox Ford
Steven Poole,7,A Farewell to Arms,Ernest Hemingway
Steven Poole,8,The Blue Flower,Penelope Fitzgerald
Steven Poole,9,Tree of Smoke,Denis Johnson
Steven Poole,10,Frankenstein,Mary Shelley
Lucy Knight,1,How to Be Both,Ali Smith
Lucy Knight,2,Fun Home,Alison Bechdel
Lucy Knight,3,The Summer Book,Tove Jansson
Lucy Knight,4,Americanah,Chimamanda Ngozi Adichie
Lucy Knight,5,Wise Children,Angela Carter
Lucy Knight,6,Never Let Me Go,Kazuo Ishiguro
Lucy Knight,7,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
Lucy Knight,8,Pride and Prejudice,Jane Austen
Lucy Knight,9,The Great Gatsby,F Scott Fitzgerald
Lucy Knight,10,The Good Soldier,Ford Madox Ford
Samantha Ellis,1,Wuthering Heights,Emily Brontë
Samantha Ellis,2,The Tenant of Wildfell Hall,Anne Brontë
Samantha Ellis,3,The Tale of the 1002nd Night,Joseph Roth
Samantha Ellis,4,Nights at the Circus,Angela Carter
Samantha Ellis,5,The Bell Jar,Sylvia Plath
Samantha Ellis,6,Wolf Hall,Hilary Mantel
Samantha Ellis,7,Persuasion,Jane Austen
Samantha Ellis,8,Journey by Moonlight,Antal Szerb
Samantha Ellis,9,My Brilliant Friend,Elena Ferrante
Samantha Ellis,10,The Amazing Adventures of Kavalier and Clay,Michael Chabon
Rachel Kushner,1,Moby-Dick,Herman Melville
Rachel Kushner,2,Red Badge of Courage,Stephen Crane
Rachel Kushner,3,As I Lay Dying,William Faulkner
Rachel Kushner,4,Invisible Man,Ralph Ellison
Rachel Kushner,5,The Recognitions,William Gaddis
Rachel Kushner,6,The Great Gatsby,F Scott Fitzgerald
Rachel Kushner,7,Jane Eyre,Charlotte Brontë
Rachel Kushner,8,The Sun Also Rises,Ernest Hemingway
Rachel Kushner,9,Lolita,Vladimir Nabokov
Rachel Kushner,10,Underworld,Don DeLillo
Jan Carson,1,Midnight's Children,Salman Rushdie
Jan Carson,2,Beloved,Toni Morrison
Jan Carson,3,Wuthering Heights,Emily Brontë
Jan Carson,4,Rebecca,Daphne du Maurier
Jan Carson,5,Dracula,Bram Stoker
Jan Carson,6,We Have Always Lived in the Castle,Shirley Jackson
Jan Carson,7,Lincoln in the Bardo,George Saunders
Jan Carson,8,And Then There Were None,Agatha Christie
Jan Carson,9,The Millstone,Margaret Drabble
