voter,position,title,author
David Shariatmadari,1,The Deptford Trilogy,Robertson Davies
David Shariatmadari,2,Couples,John Updike
David Shariatmadari,3,The Bell,Iris Murdoch
David Shariatmadari,4,The Go-Between,LP Hartley
David Shariatmadari,5,The Return of the Native,Thomas Hardy
David Shariatmadari,6,A Visit From the Goon Squad,Jennifer Egan
David Shariatmadari,7,A Compass Error,Sybille Bedford
David Shariatmadari,8,The Leopard,Giuseppe Tomasi di Lampedusa
David Shariatmadari,9,Waterland,Graham Swift
David Shariatmadari,10,Tales of the City,Armistead Maupin
John Lanchester,1,In Search of Lost Time,Marcel Proust
John Lanchester,2,Middlemarch,George Eliot
John Lanchester,3,Ulysses,James Joyce
John Lanchester,4,War and Peace,Leo Tolstoy
John Lanchester,5,Moby-Dick,Herman Melville
John Lanchester,6,The Leopard,Giuseppe Tomasi di Lampedusa
John Lanchester,7,Demons,Fyodor Dostoevsky
John Lanchester,8,"The Story of the Stone, or the Dream of the Red Chamber",Cao Xueqin
John Lanchester,9,The Left Hand of Darkness,Ursula K Le Guin
John Lanchester,10,A Dance to the Music of Time,Anthony Powell
Jo Hamya,1,Anna Karenina,Leo Tolstoy
Jo Hamya,2,To the Lighthouse,Virginia Woolf
Jo Hamya,3,"Lolly Willowes, Or, the Loving Huntsman",Sylvia Townsend Warner
Jo Hamya,4,Wide Sargasso Sea,Jean Rhys
Jo Hamya,5,The Loneliness of Sonia and Sunny,Kiran Desai
Jo Hamya,6,Transit,Rachel Cusk
Jo Hamya,7,The Millstone,Margaret Drabble
Jo Hamya,8,The Bloater,Rosemary Tonks
Jo Hamya,9,Passing,Nella Larsen
Jo Hamya,10,Lolita,Vladimir Nabokov
Tom Crewe,1,The Palliser Novels,Anthony Trollope
Tom Crewe,2,Anna Karenina,Leo Tolstoy
Tom Crewe,3,The Red and the Black,Stendhal
Tom Crewe,4,Cousin Bette,Honoré de Balzac
Tom Crewe,5,Middlemarch,George Eliot
Tom Crewe,6,Mansfield Park,Jane Austen
Tom Crewe,7,Miss Marjoribanks,Margaret Oliphant
Tom Crewe,8,Les Misérables,Victor Hugo
Tom Crewe,9,Pickwick Papers,Charles Dickens
Tom Crewe,10,The Ambassadors,Henry James
Michael Donkor,1,Middlemarch,George Eliot
Michael Donkor,2,Madame Bovary,Gustave Flaubert
Michael Donkor,3,One Hundred Years of Solitude,Gabriel García Márquez
Michael Donkor,4,Lolita,Vladimir Nabokov
Michael Donkor,5,The Sound and the Fury,William Faulkner
Michael Donkor,6,Mrs Dalloway,Virginia Woolf
Michael Donkor,7,A Passage to India,E. M. Forster
Michael Donkor,8,Things Fall Apart,Chinua Achebe
Michael Donkor,9,Revolutionary Road,Richard Yates
Michael Donkor,10,The Bluest Eye,Toni Morrison
Charlotte Northedge,1,Middlemarch,George Eliot
Charlotte Northedge,2,Persuasion,Jane Austen
Charlotte Northedge,3,To the Lighthouse,Virginia Woolf
Charlotte Northedge,4,The Great Gatsby,F Scott Fitzgerald
Charlotte Northedge,5,Beloved,Toni Morrison
Charlotte Northedge,6,Never Let Me Go,Kazuo Ishiguro
Charlotte Northedge,7,The Handmaid's Tale,Margaret Atwood
Charlotte Northedge,8,My Brilliant Friend,Elena Ferrante
Charlotte Northedge,9,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Charlotte Northedge,10,The God of Small Things,Arundhati Roy
Ella Creamer,1,To the Lighthouse,Virginia Woolf
Ella Creamer,2,My Brilliant Friend,Elena Ferrante
Ella Creamer,3,Beloved,Toni Morrison
Ella Creamer,4,The Rainbow,DH Lawrence
Ella Creamer,5,Their Eyes Were Watching God,Zora Neale Hurston
Ella Creamer,6,The Road to the City,Natalia Ginzburg
Ella Creamer,7,In the Time of the Butterflies,Julia Alvarez
Ella Creamer,8,Outline,Rachel Cusk
Ella Creamer,9,Moderato Cantabile,Marguerite Duras
Ella Creamer,10,The Discomfort of Evening,Lucas Rijneveld
Liese Spencer,1,Emma,Jane Austen
Liese Spencer,2,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Liese Spencer,3,Beloved,Toni Morrison
Liese Spencer,4,Mrs Dalloway,Virginia Woolf
Liese Spencer,5,Crime and Punishment,Fyodor Dostoevsky
Liese Spencer,6,The Prime of Miss Jean Brodie,Muriel Spark
Liese Spencer,7,Great Expectations,Charles Dickens
Liese Spencer,8,Normal People,Sally Rooney
Liese Spencer,9,Riddley Walker,Russell Hoban
Liese Spencer,10,Housekeeping,Marilynne Robinson
Emma Loffhagen,1,The Color Purple,Alice Walker
Emma Loffhagen,2,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Emma Loffhagen,3,Things Fall Apart,Chinua Achebe
Emma Loffhagen,4,White Teeth,Zadie Smith
Emma Loffhagen,5,Their Eyes Were Watching God,Zora Neale Hurston
Emma Loffhagen,6,Emma,Jane Austen
Emma Loffhagen,7,The God of Small Things,Arundhati Roy
Emma Loffhagen,8,The Vegetarian,Han Kang
Emma Loffhagen,9,Intermezzo,Sally Rooney
Emma Loffhagen,10,The Great Gatsby,F Scott Fitzgerald
RF Kuang,1,Pale Fire,Vladimir Nabokov
RF Kuang,2,The Great Gatsby,F Scott Fitzgerald
RF Kuang,3,The Name of the Rose,Umberto Eco
RF Kuang,4,Les Misérables,Victor Hugo
RF Kuang,5,The Brothers Karamazov,Fyodor Dostoyevsky
RF Kuang,6,Wolf Hall,Hilary Mantel
RF Kuang,7,One Hundred Years of Solitude,Gabriel García Márquez
RF Kuang,8,The Remains of the Day,Kazuo Ishiguro
RF Kuang,9,The Time of the Doves,Mercè Rodoreda
RF Kuang,10,Buddenbrooks,Thomas Mann
Elizabeth Day,1,Howards End,EM Forster
Elizabeth Day,2,Pride and Prejudice,Jane Austen
Elizabeth Day,3,Vanity Fair,William Makepeace Thackeray
Elizabeth Day,4,Great Expectations,Charles Dickens
Elizabeth Day,5,Lolita,Vladimir Nabokov
Elizabeth Day,6,Middlemarch,George Eliot
Elizabeth Day,7,The Bonfire of the Vanities,Tom Wolfe
Elizabeth Day,8,Gone Girl,Gillian Flynn
Elizabeth Day,9,Americanah,Chimamanda Ngozi Adichie
Elizabeth Day,10,The Light Years,Elizabeth Jane Howard
Jem Calder,1,Middlemarch,George Eliot
Jem Calder,2,War and Peace,Leo Tolstoy
Jem Calder,3,The Portrait of a Lady,Henry James
Jem Calder,4,Suttree,Cormac McCarthy
Jem Calder,5,The Easter Parade,Richard Yates
Jem Calder,6,Persuasion,Jane Austen
Jem Calder,7,The Corrections,Jonathan Franzen
Jem Calder,8,Angel,Elizabeth Taylor
Jem Calder,9,Infinite Jest,David Foster Wallace
Jem Calder,10,The Tunnel,William H. Gass
Damian Barr,1,Giovanni's Room,James Baldwin
Damian Barr,2,The Prime of Miss Jean Brodie,Muriel Spark
Damian Barr,3,The Color Purple,Alice Walker
Damian Barr,4,Dracula,Bram Stoker
Damian Barr,5,The Picture of Dorian Gray,Oscar Wilde
Damian Barr,6,A Boy's Own Story,Edmund White
Damian Barr,7,Beloved,Toni Morrison
Damian Barr,8,The Trick Is to Keep Breathing,Janice Galloway
Damian Barr,9,Their Eyes Were Watching God,Zora Neale Hurston
Damian Barr,10,Suite Française,Irène Némirovsky
Lily King,1,To the Lighthouse,Virginia Woolf
Lily King,2,Mrs Dalloway,Virginia Woolf
Lily King,3,The Sound and the Fury,William Faulkner
Lily King,4,Beloved,Toni Morrison
Lily King,5,Persuasion,Jane Austen
Lily King,6,Pride and Prejudice,Jane Austen
Lily King,7,Middlemarch,George Eliot
Lily King,8,Independant People,Halldór Laxness
Lily King,9,In Search of Lost Time,Marcel Proust
Lily King,10,The Transit of Venus,Shirley Hazzard
Saba Sams,1,Who Will Run the Frog Hospital?,Lorrie Moore
Saba Sams,2,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
Saba Sams,3,The Prime of Miss Jean Brodie,Muriel Spark
Saba Sams,4,The Golden Notebook,Doris Lessing
Saba Sams,5,To the Lighthouse,Virginia Woolf
Saba Sams,6,The Heart Is a Lonely Hunter,Carson McCullers
Saba Sams,7,The God of Small Things,Arundhati Roy
Saba Sams,8,Lolita,Vladimir Nabokov
Saba Sams,9,Another Country,James Baldwin
Saba Sams,10,Wide Sargasso Sea,Jean Rhys
Ian Rankin,1,Bleak House,Charles Dickens
Ian Rankin,2,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
Ian Rankin,3,The Prime of Miss Jean Brodie,Muriel Spark
Ian Rankin,4,The Big Sleep,Raymond Chandler
Ian Rankin,5,Crime and Punishment,Fyodor Dostoevsky
Ian Rankin,6,A Dance to the Music of Time,Anthony Powell
Ian Rankin,7,Song of Solomon,Toni Morrison
Ian Rankin,8,Money,Martin Amis
Ian Rankin,9,Lanark,Alasdair Gray
Ian Rankin,10,Life After Life,Kate Atkinson
Nussaibah Younis,1,The Song of Achilles,Madeline Miller
Nussaibah Younis,2,"Detransition, Baby",Torrey Peters
Nussaibah Younis,3,The Trees,Percival L. Everett
Nussaibah Younis,4,The Sellout,Paul Beatty
Nussaibah Younis,5,Vernon Subutex 1,Virginie Despentes
Nussaibah Younis,6,Love Me Tender,Constance Debré
Nussaibah Younis,7,Big Swiss,Jen Beagin
Nussaibah Younis,8,Mammoth,Eva Baltasar
Nussaibah Younis,9,A Long Way Down,Nick Hornby
Nussaibah Younis,10,We All Want Impossible Things,Catherine Newman
Florence Knapp,1,A Fine Balance,Rohinton Mistry
Florence Knapp,2,A Little Life,Hanya Yanagihara
Florence Knapp,3,Anne of Green Gables,Lucy Maud Montgomery
Florence Knapp,4,A Thousand Splendid Suns,Khaled Hosseini
Florence Knapp,5,North and South,Elizabeth Gaskell
Florence Knapp,6,The Safekeep,Yael van der Wouden
Florence Knapp,7,Hamnet,Maggie O'Farrell
Florence Knapp,8,To Kill a Mockingbird,Harper Lee
Florence Knapp,9,Small Things Like These,Claire Keegan
Florence Knapp,10,Wonder,R. J. Palacio
Lauren Elkin,1,Mrs Dalloway,Virginia Woolf
Lauren Elkin,2,Nightwood,Djuna Barnes
Lauren Elkin,3,Beloved,Toni Morrison
Lauren Elkin,4,The Years,Annie Ernaux
Lauren Elkin,5,"Life, a User's Manual",Georges Perec
Lauren Elkin,6,Middlemarch,George Eliot
Lauren Elkin,7,Germinal,Émile Zola
Lauren Elkin,8,Notre Dame De Paris,Victor Hugo
Lauren Elkin,9,Heat of the Day,Elizabeth Bowen
Lauren Elkin,10,La Princesse De Cleves,Madame de La Fayette
Naoise Dolan,1,The Dirty Dust,Máirtín Ó Cadhain
Naoise Dolan,2,Arturo's Island,Elsa Morante
Naoise Dolan,3,Song of Solomon,Toni Morrison
Naoise Dolan,4,Emma,Jane Austen
Naoise Dolan,5,Bleak House,Charles Dickens
Naoise Dolan,6,Giovanni's Room,James Baldwin
Naoise Dolan,7,The Waiting Years,Fumiko Enchi
Naoise Dolan,8,Buddenbrooks,Thomas Mann
Naoise Dolan,9,Lead Us Into Temptation,Breandán Ó hEithir
Naoise Dolan,10,Of Love and Other Demons,Gabriel García Márquez
Doireann Ní Ghríofa,1,Mrs Dalloway,Virginia Woolf
Doireann Ní Ghríofa,2,Jane Eyre,Charlotte Brontë
Doireann Ní Ghríofa,3,Wuthering Heights,Emily Brontë
Doireann Ní Ghríofa,4,To the Lighthouse,Virginia Woolf
Doireann Ní Ghríofa,5,Dracula,Bram Stoker
Doireann Ní Ghríofa,6,The Dirty Dust,Máirtín Ó Cadhain
Doireann Ní Ghríofa,7,Rebecca,Daphne du Maurier
Doireann Ní Ghríofa,8,The Rings of Saturn,WG Sebald
Doireann Ní Ghríofa,9,The Gathering,Anne Enright
Doireann Ní Ghríofa,10,Nora Webster,Colm Tóibín
Daisy Johnson,1,Miss Smilla's Feeling for Snow,Peter Høeg
Daisy Johnson,2,The God of Small Things,Arundhati Roy
Daisy Johnson,3,The Shipping News,Annie Proulx
Daisy Johnson,4,The Bone People,Keri Hulme
Daisy Johnson,5,Beloved,Toni Morrison
Daisy Johnson,6,Women Talking,Miriam Toews
Daisy Johnson,7,One Hundred Years of Solitude,Gabriel García Márquez
Daisy Johnson,8,Watership Down,Richard Adams
Daisy Johnson,9,Territory of Light,Yuko Tsushima
Daisy Johnson,10,Freshwater,Akwaeke Emezi
