title,author,score
The Names,Don DeLillo,23
The Spiral Ascent,Edward Upward,23
The Stand,Stephen King,23
"The Story of the Stone, or the Dream of the Red Chamber",Cao Xueqin,23
The Trick Is to Keep Breathing,Janice Galloway,23
The War of the Worlds,H. G. Wells,23
Titus Groan,Mervyn Peake,23
Under Milk Wood,Dylan Thomas,23
Watership Down,Richard Adams,23
A Long Way Down,Nick Hornby,22
A Month in the Country,JL Carr,22
A Month in the Country,James Lloyd Carr,22
All About H. Hatterr,G. V. Desani,22
Amongst Women,John McGahern,22
Aubrey-Maturin Series,Patrick O'Brian,22
Bear,Marian Engel,22
Boredom,Alberto Moravia,22
Breath,Tim Winton,22
Confessions of a Mask,Yukio Mishima,22
Conversation in the Cathedral,Mario Vargas Llosa,22
Crooked Plow,Itamar Vieira Junior,22
Darkmans,Nicola Barker,22
Elders and Betters,Ivy Compton-Burnett,22
Flaubert's Parrot,Julian Barnes,22
Heat of the Day,Elizabeth Bowen,22
"How Late It Was, How Late",James Kelman,22
In the Distance,Hernán Díaz,22
Intermezzo,Sally Rooney,22
James,Percival L. Everett,22
Lead Us Into Temptation,Breandán Ó hEithir,22
Minor Detail,Adania Shibli,22
Moderato Cantabile,Marguerite Duras,22
Moominland Midwinter,Tove Jansson,22
Nana,Émile Zola,22
Passing,Nella Larsen,22
Pather Panchali,Bibhutibhushan Bandopadhyay,22
Pickwick Papers,Charles Dickens,22
"Rabbit, Run",John Updike,22
Revolutionary Road,Richard Yates,22
Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,22
Smiley's People,John le Carré,22
Stamboul Train,Graham Greene,22
Strangers,Anita Brookner,22
Telephone,Percival L. Everett,22
Territory of Light,Yuko Tsushima,22
The Code of the Woosters,P. G. Wodehouse,22
The Coming Bad Days,Sarah Bernstein,22
The Dew Breaker,Edwidge Danticat,22
The Dispossessed,Ursula K. Le Guin,22
The Gathering,Anne Enright,22
The Loser,Thomas Bernhard,22
The Moviegoer,Walker Percy,22
The Noise of Time,Julian Barnes,22
The Poisonwood Bible,Barbara Kingsolver,22
The Razor's Edge,William Somerset Maugham,22
The Secret Agent,Joseph Conrad,22
The Thing About December,Donal Ryan,22
The Time of the Doves,Mercè Rodoreda,22
The Vagabond,Colette,22
The Vicar of Wakefield,Oliver Goldsmith,22
The Yellow Wallpaper,Charlotte Perkins Gilman,22
Tree of Smoke,Denis Johnson,22
True History of the Kelly Gang,Peter Carey,22
Voyage in the Dark,Jean Rhys,22
Waterland,Graham Swift,22
Zone,Mathias Enard,22
A Far Cry From Kensington,Muriel Spark,21
A Prayer for Owen Meany,John Irving,21
A Question of Power,Bessie Head,21
A Suitable Boy,Vikram Seth,21
After Sappho,Selby Wynn Schwartz,21
Aunt Julia and the Script-Writer,Mario Vargas Llosa,21
Chéri,Colette,21
Danny the Champion of the World,Roald Dahl,21
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,21
Eighth Life,Nino Haratischvili,21
Exit West,Mohsin Hamid,21
Freshwater,Akwaeke Emezi,21
Haroun and the Sea of Stories,Salman Rushdie,21
Hotel Du Lac,Anita Brookner,21
Kim,Rudyard Kipling,21
Martyr!,Kaveh Akbar,21
McTeague,Frank Norris,21
Men in the Sun and Other Palestinian Stories,Ghassan Kanafani,21
Morvern Callar,Alan Warner,21
Of Love and Other Demons,Gabriel García Márquez,21
Omeros,Derek Walcott,21
On Earth We're Briefly Gorgeous,Ocean Vuong,21
Operation Shylock,Philip Roth,21
Oscar & Lucinda,Peter Carey,21
Parable of the Sower,Octavia E. Butler,21
Portnoy's Complaint,Philip Roth,21
Quartet in Autumn,Barbara Pym,21
Rabbit at Rest,John Updike,21
"Right Ho, Jeeves",P. G. Wodehouse,21
Scattered All Over the Earth,Yoko Tawada,21
Seize the Day,Saul Bellow,21
Senseless,Paul Golding,21
Silent Spring,Rachel Carson,21
Sister Outsider,Audre Lorde,21
Stag Dance,Torrey Peters,21
Still Life,A. S. Byatt,21
Tale for the Time Being,Ruth Ozeki,21
Tales of the City,Armistead Maupin,21
Tar Baby,Toni Morrison,21
The 39 Steps,John Buchan,21
The Amazing Adventures of Kavalier and Clay,Michael Chabon,21
The Birthday Boys,Beryl Bainbridge,21
The Black Prince,Iris Murdoch,21
The Blind Owl,Sadegh Hedayat,21
The City & the City,China Miéville,21
The Discomfort of Evening,Lucas Rijneveld,21
The Empty Book,Josefina Vicens,21
The Fish Can Sing,Halldór Laxness,21
The Gormenghast Novels,Mervyn Peake,21
The Haunting of Hill House,Shirley Jackson,21
The Information,Martin Amis,21
The Inverted World,Christopher Priest,21
The Light Years,Elizabeth Jane Howard,21
The Long View,Elizabeth Jane Howard,21
The Maniac,Benjamín Labatut,21
The Murder of Roger Ackroyd,Agatha Christie,21
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,21
The Slaves of Solitude,Patrick Hamilton,21
The Sportswriter,Richard Ford,21
The Spy Who Came in From the Cold,John le Carré,21
The Swimming-Pool Library,Alan Hollinghurst,21
The Tunnel,William H. Gass,21
The Valley of Fear,Arthur Conan Doyle,21
Thirst for Love,Yukio Mishima,21
Those Who Leave and Those Who Stay,Elena Ferrante,21
Tom Lake,Ann Patchett,21
Washington Square,Henry James,21
We All Want Impossible Things,Catherine Newman,21
Wonder,R. J. Palacio,21
